"species","lbd_control_BIOME182795","lbd_BIOME186184","lbd_control_BIOME186381","lbd_BIOME186385","median_g1","median_g2","log2fc","p_value","q_value","kingdom","phylum","class","order","family","genus"
"Phascolarctobacterium_succinatutens",0,0,0,0,0,0,0,0.292191065684367,0.768759381372773,"Bacteria","Firmicutes","Negativicutes","Acidaminococcales","Acidaminococcaceae","Phascolarctobacterium"
"Phocaeicola_dorei",0.125814788393049,0.0299711379472527,0,0,0,0.00954477358369086,-8.90500143289226,0.0328864568330842,0.52504790428527,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola"
"Phocaeicola_massiliensis",0,0,0,0,0,0,0,0.33420937953955,0.796370347750334,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola"
"Phocaeicola_vulgatus",0,0,0.0504525476453212,0.121686244691758,0.0963200392493787,0.111443826746189,-0.210368269062899,0.888548665735693,0.982577665538579,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola"
"Phocea_massiliensis",0,0,0.00719728454338188,0.0119501792252824,0,0,0,0.499683754286137,0.888371813346811,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Phocea"
"Provencibacterium_massiliense",0,0,0,0.00664083156503148,0,0,0,0.875267516314259,0.979275237437679,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Provencibacterium"
"Pseudoflavonifractor_capillosus",0,0.0221490477417924,0.0238727537355302,0,0,0,0,0.169798278863801,0.67936141424601,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Pseudoflavonifractor"
"Pseudoflavonifractor_phocaeensis",0,0,0.0469576476162063,0,0,0,0,0.807383373475219,0.973609362131882,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Pseudoflavonifractor"
"Pseudoruminococcus_massiliensis",0,0,0,0,0,0,0,0.468350542666086,0.886263334583516,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Pseudoruminococcus"
"Raoultibacter_massiliensis",0,0,0,0,0,0,0,0.670414664309683,0.935608766239681,"Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Raoultibacter"
"Raoultibacter_timonensis",0,0,0,0,0,0,0,0.200391657270884,0.683379104739591,"Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Raoultibacter"
"Rikenellaceae_bacterium",0,0,0,0,0,0,0,0.0777985144827703,0.556301421405242,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Rikenellaceae_unclassified"
"Romboutsia_timonensis",0,0,0.0243991443347381,0,0,0.0264530404227192,-10.3737271718574,0.889158963620206,0.982577665538579,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Peptostreptococcaceae","Romboutsia"
"Roseburia_faecis",0,0.0211321215035173,0.0453984135383047,0,0.00531039058485145,0.0181421059928657,-1.76862740438626,0.972857840769534,0.998327945067383,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Roseburia"
"Roseburia_hominis",0.0186397572169809,0,0.0324649109540312,0.0138892903149782,0.0216373027465284,0.0427072388037354,-0.980304066548581,0.000888347961937217,0.312631868221538,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Roseburia"
"Roseburia_intestinalis",0.0667233607419558,0,0,0.0312156428288573,0.0115371561564581,0.0226028049481727,-0.968994268820826,0.0512594315905989,0.52504790428527,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Roseburia"
"Roseburia_inulinivorans",0.0132970139330162,0,0,0.0337643753875004,0.00905550527733409,0.0156403354324453,-0.787068408870861,0.330220349942026,0.796370347750334,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Roseburia"
"Roseburia_lenta",0,0,0,0,0,0,0,0.139124777282662,0.637696412218869,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Roseburia"
"Roseburia_sp_AF02_12",0,0.0298657889152309,0,0.00956047988589107,0,0,0,0.062061182371999,0.52504790428527,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Roseburia"
"Roseburia_sp_BX1005",0,0,0,0,0,0,0,0.142836717991949,0.637982224500041,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Roseburia"
